iter	Passed	Remaining
914	2715	252
915	2717	249
916	2719	246
917	2721	243
918	2723	240
919	2724	236
920	2726	233
921	2728	230
922	2731	227
923	2733	224
924	2734	221
925	2739	218
926	2741	215
927	2742	212
928	2745	209
929	2747	206
930	2748	203
931	2750	200
932	2751	197
933	2753	194
934	2755	191
935	2756	188
936	2758	185
937	2761	182
938	2763	179
939	2764	176
940	2766	173
941	2768	170
942	2769	167
943	2771	164
944	2772	161
945	2775	158
946	2777	155
947	2779	152
948	2780	149
949	2782	146
950	2784	143
951	2785	140
952	2787	137
953	2789	134
954	2791	131
955	2793	128
956	2795	125
957	2797	122
958	2799	119
959	2801	116
960	2802	113
961	2805	110
962	2807	107
963	2808	104
964	2810	101
965	2812	98
966	2813	96
967	2815	93
968	2817	90
969	2819	87
970	2821	84
971	2823	81
972	2825	78
973	2827	75
974	2829	72
975	2830	69
976	2832	66
977	2834	63
978	2836	60
979	2838	57
980	2840	55
981	2842	52
982	2843	49
983	2845	46
984	2846	43
985	2849	40
986	2851	37
987	2853	34
988	2854	31
989	2856	28
990	2858	25
991	2860	23
992	2862	20
993	2865	17
994	2867	14
995	2869	11
996	2870	8
997	2872	5
998	2873	2
999	2875	0
